date,away,home,first_downs_away,first_downs_home,third_downs_away,third_downs_home,fourth_downs_away,fourth_downs_home,passing_yards_away,passing_yards_home,rushing_yards_away,rushing_yards_home,total_yards_away,total_yards_home,comp_att_away,comp_att_home,sacks_away,sacks_home,rushing_attempts_away,rushing_attempts_home,fumbles_away,fumbles_home,int_away,int_home,turnovers_away,turnovers_home,penalties_away,penalties_home,redzone_away,redzone_home,drives_away,drives_home,def_st_td_away,def_st_td_home,possession_away,possession_home
9/5/2002,  .  49ers,Giants,13,21,12-Apr,16-Sep,0-0,0-1,166,318,113,43,279,361,16-26,28-45,0-0,24-Mar,25,22,0,0,1,3,1,3,29-May,Oct-80,0-8,0-6,13,15,0,0,27:32:00,32:28:00
9/8/2002,Seahawks,Raiders,14,27,11-Jan,12-Jul,2-Feb,1-Jan,143,202,43,221,423,423,23-32,19-28,12-Mar,12-Feb,16,40,0,1,0,1,0,2,13-105,May-45,0-2,0-2,4,4,0,0,25:09:00,34:51:00
9/8/2002,Jets,Bills,18,26,8-Feb,17-Jul,0-0,2-Feb,193,242,73,142,266,384,24-30,26-39,17-Mar,29-Apr,14,32,1,1,0,2,1,3,Oct-90,Oct-82,0-9,0-8,17,18,2,0,21:06,39:08:00
9/8/2002,Vikings,Bears,19,20,13-May,13-Jul,0-0,0-0,228,288,140,80,368,368,16-28,20-33,6-Jan,9-Jan,33,26,1,1,2,1,3,2,Aug-52,Apr-33,0-7,0-6,17,17,0,0,31:31:00,28:29:00
9/8/2002,Chargers,Bengals,27,13,10-Jun,11-Apr,0-0,0-0,160,167,241,36,401,203,15-19,18-31,Jan-00,Apr-31,45,13,0,0,0,1,0,1,Apr-39,Sep-57,0-7,0-5,11,15,0,0,37:48:00,22:12
9/8/2002,Chiefs,Browns,24,24,11-May,11-Apr,0-0,0-0,276,352,194,59,470,411,20-29,28-40,0-0,7-Jan,30,20,0,1,1,0,1,1,Sep-87,Apr-38,0-10,0-10,20,17,0,0,30:16:00,29:44:00
9/8/2002,Falcons,Packers,22,29,8-Apr,15-Aug,0-0,1-Jan,194,273,180,181,374,454,15-23,25-36,15-Apr,11-Feb,30,33,1,1,0,0,1,1,Apr-82,15-Mar,0-8,0-9,15,17,0,0,30:55:00,38:50:00
9/8/2002,Eagles,Titans,17,22,15-Jul,10-Jun,1-Jan,0-0,181,267,80,61,261,328,18-36,24-34,Jun-31,2-Jan,22,25,1,3,2,1,3,4,10-113,Jun-50,0-3,0-7,17,16,0,0,29:12:00,30:48:00
9/8/2002,Lions,Dolphins,15,27,14-Jul,12-Jun,0-1,1-Jan,206,207,51,182,257,389,17-36,18-27,14-Mar,0-0,19,41,1,0,1,0,2,0,Jun-68,Apr-54,0-6,0-8,18,16,0,2,25:36:00,34:24:00
9/8/2002,Cardinals,Washington,14,21,13-Apr,16-Sep,0-0,2-Jan,187,320,70,122,257,442,14-36,28-40,Jan-00,7-Jan,20,32,0,0,1,1,1,1,5-Jan,Jul-56,0-5,0-8,18,18,0,0,25:36:00,34:24:00
