date,away,home,first_downs_away,first_downs_home,third_downs_away,third_downs_home,fourth_downs_away,fourth_downs_home,passing_yards_away,passing_yards_home,rushing_yards_away,rushing_yards_home,total_yards_away,total_yards_home,comp_att_away,comp_att_home,sacks_away,sacks_home,rushing_attempts_away,rushing_attempts_home,fumbles_away,fumbles_home,int_away,int_home,turnovers_away,turnovers_home,penalties_away,penalties_home,redzone_away,redzone_home,drives_away,drives_home,def_st_td_away,def_st_td_home,possession_away,possession_home
1/4/2003,Colts,Jets,10,26,5-13,6-11,0-0,0-0,124,216,52,180,176,396,14-31,19-25,1-13,2-6,14,42,1,0,2,0,3,0,2-10,3-30,0-7,0-5,17,10,0,0,19:42,40:18:00
1/4/2003,Falcons,Packers,21,17,8-17,8-15,0-0,0-3,117,233,192,56,309,289,13-25,20-42,0-0,2-14,44,19,0,3,0,2,0,5,3-20,3-15,0-5,0-6,13,17,1,0,36:04:00,23:56
1/5/2003,Browns,Steelers,21,30,8-17,3-10,0-0,0-0,409,343,38,89,447,432,26-43,30-48,2-20,3-24,28,20,0,1,1,2,1,3,9-75,4-35,0-7,0-9,21,21,0,1,33:02:00,26:58:00
1/5/2003,Giants,49ers,26,23,6-13,6-13,0-0,1-2,327,356,119,90,446,446,29-44,28-45,2-15,0-0,29,20,0,1,1,1,1,2,5-50,2-20,0-9,0-9,19,18,0,0,34:39:00,25:21:00
1/11/2003,Steelers,Titans,21,29,4-14,12-18,0-0,1-1,257,331,67,99,324,430,21-42,27-45,1-9,1-7,20,36,0,2,1,2,1,4,6-41,8-92,0-8,0-8,19,20,0,0,24:43:00,37:32:00
1/11/2003,Falcons,Eagles,19,15,7-15,4-14,0-1,1-1,261,227,93,91,354,318,23-39,20-30,3-27,2-20,24,26,0,0,2,0,2,0,9-95,3-30,0-6,0-3,15,12,0,2,30:33:00,29:27:00
1/12/2003,49ers,Buccaneers,14,21,3-12,10-17,1-3,0-0,166,208,62,121,228,329,22-41,16-32,4-27,1-9,13,38,2,1,3,1,5,2,6-71,10-100,0-5,0-6,18,14,0,0,23:14,36:46:00
1/12/2003,Jets,Raiders,20,20,7-18,5-13,1-4,1-1,167,272,120,127,287,399,21-47,20-30,4-16,2-11,24,30,2,0,2,1,4,1,5-30,8-70,0-8,0-8,18,15,0,0,29:04:00,30:56:00
1/19/2003,Buccaneers,Eagles,15,20,6-15,5-16,0-0,1-2,259,232,49,80,308,312,20-33,26-49,0-0,2-11,32,21,0,2,1,1,1,3,3-16,5-45,0-5,0-4,15,19,2,0,30:53:00,29:07:00
1/19/2003,Titans,Raiders,28,25,6-12,4-9,0-2,0-0,174,286,138,89,312,375,21-36,29-41,2-20,0-0,30,17,2,1,0,0,2,1,7-60,14-127,0-10,0-9,17,15,0,0,33:35:00,26:25:00
1/26/2003,Raiders,Buccaneers,11,24,7-16,6-15,0-0,0-1,250,215,19,150,269,365,24-44,18-34,5-22,0-0,11,42,0,0,5,1,5,1,7-51,5-41,0-8,0-8,23,19,1,6,22:46,37:14:00
9/4/2003,Jets,Washington,11,17,3-12,3-10,1-1,1-1,101,167,57,160,158,327,15-24,17-23,1-4,4-18,22,34,0,1,0,1,0,2,1-5,6-55,0-5,0-6,13,13,0,0,25:14:00,34:46:00
9/7/2003,  .  Chargers,Chiefs,13,19,3-13,6-15,0-1,0-0,168,259,64,131,232,390,18-33,21-32,3-34,3-23,18,32,0,1,2,1,2,2,8-55,7-62,0-1,0-0,3,2,0,0,25:37:00,34:23:00
9/7/2003,  .  Raiders,Titans,13,20,1-12,5-13,0-0,0-0,246,258,34,76,280,334,24-39,25-38,4-18,1-11,10,28,1,1,0,1,1,2,17-173,11-111,0-0,0-0,0,0,0,0,25:03:00,34:57:00
9/7/2003,Patriots,Bills,16,23,4-10,7-14,0-1,0-1,134,215,105,107,239,322,17-35,17-28,2-20,2-15,21,33,0,1,4,1,4,2,12-121,10-119,0-1,0-1,2,2,0,2,26:10:00,33:50:00
9/7/2003,Broncos,Bengals,19,15,6-14,3-12,0-0,0-3,109,243,184,51,293,294,12-25,20-37,1-6,4-21,40,22,0,2,3,2,3,4,5-58,4-25,0-0,0-1,1,4,2,0,32:18:00,27:42:00
