date,away,home,first_downs_away,first_downs_home,third_downs_away,third_downs_home,fourth_downs_away,fourth_downs_home,passing_yards_away,passing_yards_home,rushing_yards_away,rushing_yards_home,total_yards_away,total_yards_home,comp_att_away,comp_att_home,sacks_away,sacks_home,rushing_attempts_away,rushing_attempts_home,fumbles_away,fumbles_home,int_away,int_home,turnovers_away,turnovers_home,penalties_away,penalties_home,redzone_away,redzone_home,drives_away,drives_home,def_st_td_away,def_st_td_home,possession_away,possession_home
1/4/2003,Colts,Jets,10,26,13-May,11-Jun,0-0,0-0,124,216,52,180,176,396,14-31,19-25,13-Jan,6-Feb,14,42,1,0,2,0,3,0,10-Feb,30-Mar,0-7,0-5,17,10,0,0,19:42,40:18:00
1/4/2003,Falcons,Packers,21,17,17-Aug,15-Aug,0-0,0-3,117,233,192,56,309,289,13-25,20-42,0-0,14-Feb,44,19,0,3,0,2,0,5,20-Mar,15-Mar,0-5,0-6,13,17,1,0,36:04:00,23:56
1/5/2003,Browns,Steelers,21,30,17-Aug,10-Mar,0-0,0-0,409,343,38,89,447,432,26-43,30-48,20-Feb,24-Mar,28,20,0,1,1,2,1,3,Sep-75,Apr-35,0-7,0-9,21,21,0,1,33:02:00,26:58:00
1/5/2003,Giants,49ers,26,23,13-Jun,13-Jun,0-0,2-Jan,327,356,119,90,446,446,29-44,28-45,15-Feb,0-0,29,20,0,1,1,1,1,2,May-50,20-Feb,0-9,0-9,19,18,0,0,34:39:00,25:21:00
1/11/2003,Steelers,Titans,21,29,14-Apr,18-Dec,0-0,1-Jan,257,331,67,99,324,430,21-42,27-45,9-Jan,7-Jan,20,36,0,2,1,2,1,4,Jun-41,Aug-92,0-8,0-8,19,20,0,0,24:43:00,37:32:00
1/11/2003,Falcons,Eagles,19,15,15-Jul,14-Apr,0-1,1-Jan,261,227,93,91,354,318,23-39,20-30,27-Mar,20-Feb,24,26,0,0,2,0,2,0,Sep-95,30-Mar,0-6,0-3,15,12,0,2,30:33:00,29:27:00
1/12/2003,49ers,Buccaneers,14,21,12-Mar,17-Oct,3-Jan,0-0,166,208,62,121,228,329,22-41,16-32,27-Apr,9-Jan,13,38,2,1,3,1,5,2,Jun-71,10-100,0-5,0-6,18,14,0,0,23:14,36:46:00
1/12/2003,Jets,Raiders,20,20,18-Jul,13-May,4-Jan,1-Jan,167,272,120,127,287,399,21-47,20-30,16-Apr,11-Feb,24,30,2,0,2,1,4,1,30-May,Aug-70,0-8,0-8,18,15,0,0,29:04:00,30:56:00
1/19/2003,Buccaneers,Eagles,15,20,15-Jun,16-May,0-0,2-Jan,259,232,49,80,308,312,20-33,26-49,0-0,11-Feb,32,21,0,2,1,1,1,3,16-Mar,May-45,0-5,0-4,15,19,2,0,30:53:00,29:07:00
1/19/2003,Titans,Raiders,28,25,12-Jun,9-Apr,0-2,0-0,174,286,138,89,312,375,21-36,29-41,20-Feb,0-0,30,17,2,1,0,0,2,1,Jul-60,14-127,0-10,0-9,17,15,0,0,33:35:00,26:25:00
