date,away,home,score_away,score_home
9/5/2002,  .  49ers,Giants,16,13
9/8/2002,Seahawks,Raiders,17,31
9/8/2002,Jets,Bills,37,31
9/8/2002,Vikings,Bears,23,27
9/8/2002,Chargers,Bengals,34,6
9/8/2002,Chiefs,Browns,40,39
9/8/2002,Falcons,Packers,34,37
9/8/2002,Eagles,Titans,24,27
9/8/2002,Lions,Dolphins,21,49
9/8/2002,Cardinals,Washington,23,31
9/8/2002,Ravens,Panthers,7,10
9/8/2002,Colts,Jaguars,28,25
9/8/2002,Rams,Broncos,16,23
9/8/2002,Saints,Buccaneers,26,20
9/8/2002,Cowboys,Texans,10,19
9/9/2002,Steelers,Patriots,14,30
9/15/2002,  .  Bears,Falcons,14,13
9/15/2002,Packers,Saints,20,35
9/15/2002,Bengals,Browns,7,20
9/15/2002,Titans,Cowboys,13,21
9/15/2002,Dolphins,Colts,21,13
9/15/2002,Jaguars,Chiefs,23,16
9/15/2002,Patriots,Jets,44,7
9/15/2002,Lions,Panthers,7,31
9/15/2002,Buccaneers,Ravens,25,0
9/15/2002,Giants,Rams,26,21
9/15/2002,Cardinals,Seahawks,24,13
9/15/2002,Bills,Vikings,45,39
9/15/2002,Texans,Chargers,3,24
9/15/2002,Broncos,49ers,24,14
9/15/2002,Raiders,Steelers,30,17
9/16/2002,Eagles,Washington,37,7
9/22/2002,  .  Jets,Dolphins,3,30
9/22/2002,Saints,Bears,29,23
9/22/2002,Browns,Titans,31,28
9/22/2002,Panthers,Vikings,21,14
9/22/2002,Chiefs,Patriots,38,41
9/22/2002,Cowboys,Eagles,13,44
9/22/2002,Colts,Texans,23,3
9/22/2002,Bills,Broncos,23,28
9/22/2002,Chargers,Cardinals,23,15
9/22/2002,Packers,Lions,37,31
9/22/2002,Seahawks,Giants,6,9
9/22/2002,Washington,49ers,10,20
9/22/2002,Bengals,Falcons,3,30
9/23/2002,Rams,Buccaneers,14,26
9/29/2002,  .  Browns,Steelers,13,16
9/29/2002,Bears,Bills,27,33
9/29/2002,Saints,Lions,21,26
9/29/2002,Panthers,Packers,14,17
9/29/2002,Dolphins,Chiefs,30,48
9/29/2002,Cowboys,Rams,13,10
9/29/2002,Texans,Eagles,17,35
9/29/2002,Jets,Jaguars,3,28
9/29/2002,Buccaneers,Bengals,35,7
9/29/2002,Giants,Cardinals,7,21
9/29/2002,Titans,Raiders,25,52
9/29/2002,Patriots,Chargers,14,21
9/29/2002,Vikings,Seahawks,23,48
9/30/2002,Broncos,Ravens,23,34
10/6/2002,Buccaneers,Falcons,20,6
10/6/2002,Raiders,Bills,49,31
10/6/2002,Giants,Cowboys,21,17
10/6/2002,Washington,Titans,31,14
10/6/2002,Bengals,Colts,21,28
10/6/2002,Patriots,Dolphins,13,26
10/6/2002,Steelers,Saints,29,32
10/6/2002,Cardinals,Panthers,16,13
10/6/2002,Chargers,Broncos,9,26
10/6/2002,Chiefs,Jets,29,25
10/6/2002,Rams,49ers,13,37
10/6/2002,Eagles,Jaguars,25,28
10/6/2002,Ravens,Browns,26,21
10/7/2002,Packers,Bears,34,21
10/13/2002,  .  Jaguars,Titans,14,23
10/13/2002,Steelers,Bengals,34,7
10/13/2002,Panthers,Cowboys,13,14
10/13/2002,Ravens,Colts,20,22
10/13/2002,Lions,Vikings,24,31
10/13/2002,Packers,Patriots,28,10
10/13/2002,Falcons,Giants,17,10
10/13/2002,Browns,Buccaneers,3,17
10/13/2002,Saints,Washington,43,27
10/13/2002,Bills,Texans,31,24
10/13/2002,Raiders,Rams,13,28
10/13/2002,Chiefs,Chargers,34,35
10/13/2002,Dolphins,Broncos,24,22
10/14/2002,49ers,Seahawks,28,21
10/20/2002,  .  Seahawks,Rams,20,37
10/20/2002,Panthers,Falcons,0,30
10/20/2002,Bears,Lions,20,23
10/20/2002,Broncos,Chiefs,37,34
10/20/2002,Bills,Dolphins,23,10
10/20/2002,49ers,Saints,27,35
10/20/2002,Vikings,Jets,7,20
10/20/2002,Jaguars,Ravens,10,17
10/20/2002,Texans,Browns,17,34
10/20/2002,Chargers,Raiders,27,21
10/20/2002,Washington,Packers,9,30
10/20/2002,Buccaneers,Eagles,10,20
10/20/2002,Cowboys,Cardinals,6,9
10/21/2002,Colts,Steelers,10,28
10/27/2002,Lions,Bills,17,24
10/27/2002,Titans,Bengals,30,24
10/27/2002,Seahawks,Cowboys,17,14
10/27/2002,Raiders,Chiefs,10,20
10/27/2002,Bears,Vikings,7,25
10/27/2002,Falcons,Saints,37,35
10/27/2002,Browns,Jets,24,21
10/27/2002,Buccaneers,Panthers,12,9
10/27/2002,Steelers,Ravens,31,18
10/27/2002,Cardinals,49ers,28,38
10/27/2002,Broncos,Patriots,24,16
10/27/2002,Texans,Jaguars,21,19
10/27/2002,Colts,Washington,21,26
10/28/2002,Giants,Eagles,3,17
